======================================================================
IPTV 酒店源流量测试报告 (2026-03-30 10:05:09)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
153.0.171.163:9901        | 河南卫视                 | 0.3    Mbps | 100%
153.0.171.163:9901        | 辽宁卫视                 | 0.48   Mbps | 100%
171.117.226.241:9003      | 东方卫视                 | 0.53   Mbps | 100%
171.117.226.241:9003      | 甘肃卫视                 | 0.69   Mbps | 100%
171.117.226.241:9003      | 广西卫视                 | 0.55   Mbps | 100%
171.117.87.9:9003         | 广东卫视                 | 1.47   Mbps | 100%
171.117.87.9:9003         | 辽宁卫视                 | 1.03   Mbps | 100%
171.117.87.9:9003         | 内蒙卫视                 | 1.29   Mbps | 0%
171.127.97.162:85         | 山西卫视                 | 0.02   Mbps | 100%
171.127.97.162:85         | 新动漫                  | 0.03   Mbps | 100%
171.127.97.162:85         | 重庆卫视                 | 0.02   Mbps | 100%
171.14.89.119:9901        | 山东卫视                 | 0.69   Mbps | 100%
171.14.89.119:9901        | 上海卫视                 | 0.47   Mbps | 100%
171.14.89.119:9901        | 优漫卡通                 | 0.44   Mbps | 100%
171.15.151.14:9999        | CCTV10科教             | 0.45   Mbps | 100%
171.15.151.14:9999        | CCTV1综合              | 0.45   Mbps | 100%
171.15.151.14:9999        | CCTV15音乐             | 0.37   Mbps | 100%
171.43.65.155:9901        | 湖南卫视                 | 5.59   Mbps | 12%
171.43.65.155:9901        | CCTV15音乐             | 3.37   Mbps | 0%
171.43.65.155:9901        | CCTV9纪录              | 5.03   Mbps | 0%
171.83.103.25:8800        | CCTV7国防军事            | 7.15   Mbps | 24%
171.83.103.25:8800        | CCTV1综合              | 6.32   Mbps | 0%
175.11.73.53:9999         | 金鹰纪实                 | 0.24   Mbps | 0%
175.11.73.53:9999         | CHC家庭影院              | 0.23   Mbps | 0%
175.11.73.53:9999         | 重庆卫视                 | 0.14   Mbps | 0%
180.165.12.42:50001       | 乐游                   | 0.91   Mbps | 100%
180.165.12.42:50001       | CCTV5                | 0.61   Mbps | 100%
180.165.12.42:50001       | CCTV7                | 1.05   Mbps | 100%
180.173.154.233:7777      | 新疆卫视                 | 0.12   Mbps | 100%
180.173.154.233:7777      | 河北卫视                 | 0.16   Mbps | 100%
180.173.154.233:7777      | 江西卫视                 | 0.11   Mbps | 100%
182.117.192.132:8888      | 江西卫视                 | 8.58   Mbps | 79%
182.117.192.132:8888      | CCTV11戏曲             | 8.9    Mbps | 89%
182.117.192.132:8888      | 云南卫视                 | 8.83   Mbps | 88%
182.150.31.44:808         | CCTV12社会与法           | 2.4    Mbps | 100%
182.150.31.44:808         | CCTV6电影              | 1.12   Mbps | 100%
182.207.218.109:999       | 天津卫视                 | 0.73   Mbps | 100%
182.207.218.109:999       | 内蒙古卫视                | 1.01   Mbps | 81%
182.207.218.109:999       | 北京卫视                 | 3.54   Mbps | 61%
182.91.124.224:8801       | CCTV5体育              | 1.04   Mbps | 100%
182.91.124.224:8801       | CCTV15音乐             | 0.34   Mbps | 100%
182.91.124.224:8801       | 海南卫视                 | 0.18   Mbps | 100%
182.91.124.60:8801        | CCTV15音乐             | 2.29   Mbps | 66%
182.91.124.60:8801        | 深圳卫视                 | 2.12   Mbps | 82%
182.91.124.61:8801        | 贵州卫视                 | 0.49   Mbps | 100%
182.91.124.61:8801        | CCTV6电影              | 0.96   Mbps | 100%
182.91.124.61:8801        | 安徽卫视                 | 0.49   Mbps | 100%
183.129.211.142:808       | 四川卫视                 | 7.6    Mbps | 34%
183.129.211.142:808       | CCTV15音乐             | 3.55   Mbps | 40%
183.129.211.142:808       | 浙江少儿                 | 6.14   Mbps | 0%
183.129.255.66:8480       | CCTV6                | 5.28   Mbps | 9%
183.129.255.66:8480       | CCTV3综艺              | 7.64   Mbps | 32%
